"","job.code","job.name","tasks.less.automated","tasks.more.automated","May.2017.000s","male 0-9 years","male 10-19 years","male 20-29 years","male 30-39 years","male 40-49 years","male 50-59 years","male 60-69 years","male 70-79 years","male 80-89 years","male 90-99 years","male 100 years and over","female 0-9 years","female 10-19 years","female 20-29 years","female 30-39 years","female 40-49 years","female 50-59 years","female 60-69 years","female 70-79 years","female 80-89 years","female 90-99 years","female 100 years and over","under.10","under.20","under.30","under.40","under.50","under.60","under.70","under.80","under.90","under.100","over.100","total.men","total.women","percent.women","sum","percent.under.30","percent.thirtyto60","percent.over50","percent.over60"
"51","732","Delivery Drivers",71,29,43.72,0,1997,6345,5268,6207,5910,3424,316,18,0,0,0,293,625,674,987,692,266,22,0,0,0,0,2295,6973,5938,7198,6601,3687,335,24,0,0,29485,3559,10.7704878344026,33051,28.0415116032798,59.7168013070709,32.2138513206862,12.2416870896493
"52","311","Agricultural, Medical and Science Technicians",71,29,50.71,0,262,3342,3485,3463,3277,1381,109,6,0,0,0,362,5991,5921,6774,5819,1511,72,3,0,0,0,615,9328,9404,10244,9093,2893,179,10,3,0,15325,26453,63.3180142658816,41769,23.8047355694415,68.8094041035218,29.1555938614762,7.3858603270368
"53","225","Sales, Marketing and Public Relations Professionals",72,28,130.24,0,353,10060,15588,12925,8199,3695,430,25,0,0,0,458,16656,16765,9812,4223,1206,98,13,0,0,0,808,26718,32354,22734,12418,4896,525,40,0,0,51275,49231,48.9831452848586,100493,27.3909625546058,67.1748280974794,17.7912889454987,5.43420934791478
"54","551","Accounting Clerks and Bookkeepers",72,28,270.46,0,446,6305,6620,6262,6717,4373,799,128,11,0,0,1576,25673,43705,54991,41695,17394,1617,153,14,0,0,2028,31978,50327,61250,48415,21772,2418,281,20,0,31661,186818,85.5084470360996,218489,15.5641702785953,73.2265697586606,33.3682702561685,11.2092599627441
"55","224","Information and Organisation Professionals",72,28,145.64,0,124,9670,15552,14126,12104,5983,810,74,0,0,0,152,10160,17222,14805,10767,3404,211,14,0,0,0,276,19830,32775,28924,22874,9382,1016,86,3,0,58443,56735,49.2585389570925,115166,17.4582776166577,73.4357362415991,28.9677508987027,9.10598614174322
"56","251","Health Diagnostic and Promotion Professionals",75,25,97.83,0,92,5233,6415,6334,5950,2493,474,36,0,0,0,194,11782,10760,8151,6054,1727,154,9,0,0,0,283,17014,17178,14483,12010,4217,623,44,3,0,27027,38831,58.9617054875642,65855,26.2652797813378,66.3138713841014,25.6578847467922,7.42084883456078
"57","263","ICT Network and Support Professionals",75,25,48.44,0,134,6389,11154,7117,3471,805,45,5,0,0,0,19,1024,1818,1168,580,106,0,0,0,0,0,150,7416,12975,8286,4051,912,45,5,0,0,29120,4715,13.9352741244274,33840,22.3581560283688,74.7990543735225,14.813829787234,2.84278959810875
"58","451","Personal Service and Travel Workers",75,25,106.21,0,331,3343,3970,4538,4177,2550,431,45,0,0,0,2329,17589,14182,12153,7565,3183,360,35,3,0,0,2663,20941,18146,16691,11745,5733,795,80,4,0,19385,57399,74.7538549697854,76798,30.7351753951926,60.6552253964947,23.9029662230787,8.60959920831272
"59","142","Retail Managers",77,23,229.78,0,1926,19318,24833,25343,20890,10034,1330,152,11,0,0,2725,22728,19389,23147,19124,6339,646,67,11,0,0,4652,42049,44226,48487,40015,16372,1975,221,22,0,103837,94176,47.5605137036457,198019,23.5841005156071,67.0279114630414,29.5956448623617,9.38798802135149
"60","223","Human Resource and Training Professionals",78,22,93.04,0,185,5042,7415,6437,5695,2364,203,13,0,0,0,275,14806,16303,11732,7032,1747,68,3,0,0,0,458,19847,23722,18172,12721,4113,274,11,0,0,27354,51966,65.5143721633888,79318,25.5994856148667,68.8557452280693,21.5827428830782,5.54476915706397
"61","241","School Teachers",78,22,401.47,0,311,11997,19191,17573,22211,7632,494,28,4,0,0,595,45178,56942,59118,60849,16421,884,42,14,0,0,905,57166,76126,76694,83062,24051,1376,66,15,0,79441,240043,75.1345920296478,319461,18.1778057415459,73.8374950306923,33.9853691060881,7.98469922776176
"62","531","General Clerks",79,21,240.31,0,1598,7466,5661,6243,6905,3587,546,85,3,0,0,6487,37363,40544,55490,45883,16946,1424,141,5,0,0,8088,44831,46203,61736,52785,20534,1969,224,9,0,32094,204283,86.4225368796456,236379,22.3873525143943,67.9941957618909,31.9491156151773,9.61845172371488
"63","441","Defence Force Members, Fire Fighters and Police",79,21,74.07,0,1183,14688,18351,17879,8926,910,25,3,3,0,0,182,4011,6151,3625,760,55,0,3,0,0,0,1365,18699,24504,21506,9681,967,30,8,3,0,61968,14787,19.265194449873,76763,26.137592329638,72.5492750413611,13.9246772533643,1.31313262900095
"64","231","Air and Marine Transport Professionals",79,21,22.16,0,84,3166,4876,5319,4030,1787,160,11,0,0,0,14,403,425,297,135,38,4,3,0,0,0,100,3571,5304,5612,4170,1820,162,13,0,0,19433,1319,6.35601387818042,20752,17.6898612181958,72.6966075558982,29.7079799537394,9.61353122590594
"65","253","Medical Practitioners",79,21,106.71,0,15,3673,10127,10534,9685,6278,1792,338,8,3,0,20,4911,8893,7173,4932,1548,260,31,3,0,0,33,8582,19019,17711,14618,7823,2053,372,11,3,42453,27771,39.5463089542037,70225,12.2677109291563,73.1192595229619,35.4289782840869,14.6130295478818
